industry,business_age_years,num_employees,business_type,gst_registered,region,annual_revenue_lakh,gross_margin_pct,operating_cash_flow_lakh,revenue_growth_yoy_pct,revenue_volatility_6m_pct,debt_to_equity_ratio,current_ratio,accounts_receivable_days,months_on_platform,total_invoices_lifetime,avg_invoice_value_lakh,invoice_frequency_monthly,pct_invoices_paid_on_time,avg_payment_delay_days,max_payment_delay_days,dispute_rate_pct,order_value_trend,has_existing_loans,num_active_loans,existing_loan_lakh,prev_bnpl_defaults,credit_bureau_score,months_oldest_credit,num_credit_enquiries_6m,relationship_tenure_months,num_unique_billers,repeat_order_rate_pct,platform_gmv_lakh,last_order_days_ago,support_tickets_open,sector_bnpl_penetration_pct,macro_gdp_growth_pct,default_probability,bnpl_approved,credit_limit_lakh,credit_source
Retail (B2B),2.8,5,Pvt Ltd,1,Rural,966.68,27.04,242.06,-30.07,17.72,2.78,1.636,39.8,3,71,11.227,1.71,80.2,18.8,37.9,0.77,declining,1,1,2.46,0,736,57,3,3,5,71,797.12,34,0,28,4.84,0.4695,0,0,none
Professional Services,2.5,23,Pvt Ltd,1,Tier-1,144.52,28.2,17.22,13.31,13.01,1.151,1.177,64.3,26,5,0.736,8.15,77.4,2.7,20,1.51,declining,0,0,0,0,578,46,1,26,8,63.6,3.68,4,0,30,7.2,0.3011,1,14.61,platform
Construction,1.5,51,Sole Prop,1,Metro,53.29,13.84,3.48,30.63,3.15,1.124,1.896,59.7,2,51,2.724,17.64,80,5.5,10.3,3.44,stable,1,2,47.92,0,618,8,0,2,4,63.1,138.92,0,0,10,5.43,0.3309,1,9.52,platform
Logistics & Freight,5.2,3,Pvt Ltd,1,Tier-1,46.82,31.9,7.54,54.4,12.08,3.955,2.393,70.8,16,10,4.732,1.78,72,0.3,8.5,1.14,stable,0,0,0,0,776,70,2,16,2,61.7,47.32,47,0,15,6.55,0.2623,1,10.82,platform
Manufacturing,3.7,80,Partnership,1,Tier-1,200.95,21.59,43.39,4.25,35.62,0.669,5.23,29.9,20,12,8.232,4.2,72.6,11.7,11.9,3.75,growing,1,4,18.01,0,501,18,2,20,3,75.8,98.78,32,0,22,4.92,0.3977,1,18.87,biller
Manufacturing,10.5,10,Partnership,1,Tier-3,58.52,2,0.42,2.82,20.73,2.034,2.259,20.5,5,32,0.724,2.5,75.5,2,4.9,3.41,growing,1,1,9.92,0,550,36,0,5,2,95.8,23.17,19,0,22,5.96,0.2762,1,6.17,biller
Wholesale Trade,0.7,4,Partnership,0,Tier-1,24.39,20.38,2.23,26.71,6.73,0.794,0.962,47.8,21,48,4.813,2.99,79.1,3.4,48,1.22,growing,0,0,0,2,647,56,1,21,2,84.4,231.02,9,0,18,8.37,0.887,0,0,none
FMCG Distribution,5.7,28,Partnership,1,Tier-2,33.85,15.17,2.64,42.24,11.69,1.406,0.846,9.5,1,12,3.888,5.4,88.4,13.7,29.2,1.62,declining,1,2,25.47,0,630,74,0,1,3,82,46.66,14,0,25,7.22,0.2775,1,5.49,platform
Logistics & Freight,7.7,7,Pvt Ltd,0,Tier-2,939.3,37.66,258.87,-16.71,4.35,5.57,1.095,41.2,39,233,0.849,5.67,68.5,7.7,9.6,0.82,stable,0,0,0,0,660,27,2,39,1,59.1,197.82,0,1,15,3.9,0.5276,0,0,none
Construction,7.6,11,Public Ltd,1,Metro,148.51,6.05,5.23,21.29,4.2,0.504,2.31,33.2,7,67,6.928,3.25,92.4,0.7,5.7,0.56,stable,1,4,17.66,0,771,40,3,7,3,72.4,464.18,16,0,10,9.26,0.0917,1,37.94,platform
Wholesale Trade,11.4,7,Sole Prop,1,Tier-1,196.54,16.2,13.79,44.56,31.84,0.429,1.711,31.7,26,40,1.801,14.5,77.4,12.1,27.6,2.87,stable,1,3,44.21,0,700,29,1,26,7,85.4,72.04,9,0,18,6.37,0.121,1,25.38,biller
Professional Services,7,4,Partnership,1,Rural,46.84,25.09,8.88,3.02,24.17,4.172,0.865,6.7,6,12,1.831,8.78,83.1,12.4,14.9,3.44,declining,0,0,0,0,755,0,2,6,4,95.1,21.97,4,0,30,6.69,0.4056,0,0,none
FMCG Distribution,13.6,27,Pvt Ltd,0,Tier-1,80.31,51.03,38.49,-15.16,19.51,1.637,1.069,52.1,18,78,4.175,7.28,94.2,11.2,17,2.53,declining,1,2,44.35,0,597,89,1,18,3,87,325.65,19,2,25,3.2,0.2847,1,25.74,biller
Manufacturing,2.5,8,Pvt Ltd,0,Tier-3,76.76,45.46,6.78,23.7,18.9,0.768,2.832,48.4,12,3,3.671,19.88,71,9.3,11.6,2.53,stable,1,4,684.43,0,602,15,3,12,4,81.2,11.01,20,0,22,8.62,0.5293,0,0,none
Manufacturing,4,2,Sole Prop,1,Tier-1,123.04,21.46,11.34,-18.91,29.17,1.218,3.136,42.7,9,6,1.129,4.22,60.3,0.6,8.7,2.62,growing,0,0,0,0,709,0,2,9,2,69.4,6.77,64,0,22,5.2,0.3027,1,8.97,platform
Manufacturing,0.6,22,Pvt Ltd,0,Tier-1,17.78,26.19,3.39,31.81,18.2,1.15,0.548,64.3,67,16,0.321,2.95,86.4,5.8,7.7,3.62,growing,1,4,8.6,0,524,11,1,67,4,77.2,5.14,7,1,22,6.44,0.3876,1,21.8,biller
Retail (B2B),0.5,3,Pvt Ltd,0,Metro,833.43,29.22,71.06,47.81,12.17,1.076,1.895,48.1,23,17,3.083,7.7,87.4,0,0.4,0.32,stable,1,3,22.75,0,592,73,1,23,7,90.1,52.41,12,0,28,8.9,0.3205,1,37.1,biller
IT Services,1.9,3,Partnership,0,Tier-1,177.15,9.85,9.79,-2,14.08,3.989,2.531,48.3,2,8,1.406,3.58,85.8,12.2,30.9,1.85,growing,1,1,8.24,3,607,31,5,2,4,73.5,11.25,24,1,35,5.4,0.9478,0,0,none
